date,posts_per_day,user_sentiment,post_sentiment
2023-06-28,12230,1.0538661607271083,1.0774185084732908
2023-06-29,72447,0.9536510807904067,1.0000382051078038
2023-06-30,95774,0.9684733265811758,0.9990224315680523
2023-07-01,212055,1.0116088976343265,0.9896111989438181
2023-07-02,310227,1.0092788384381408,1.0080600964837072
2023-07-03,354847,1.107552722842571,1.0854411651309126
2023-07-04,335876,1.144613953132419,1.0899786065797643
2023-07-05,291027,1.0583882185341384,1.0523089450379952
2023-07-06,336398,0.976681341869614,0.9670312972283183
2023-07-07,275099,1.0637319504096812,1.0590127974385881
2023-07-08,226617,1.0696154820278985,1.072490887324818
2023-07-09,203858,1.0672060192351596,1.0656421024180787
2023-07-10,217006,1.0622443364873495,1.0523840744796011
2023-07-11,224414,1.08368656206004,1.0813218419616573
2023-07-12,225816,1.0248468988976727,1.0133194795008091
2023-07-13,220468,0.93036729436777,0.7891468533091994
2023-07-14,193795,1.0022072650894633,0.8840333166868231
2023-07-15,163193,1.018283910649644,0.9329071206677889
2023-07-16,175339,1.2181994011581665,1.0381549253294255
2023-07-17,186523,1.0699665640958074,1.0256832621765433
2023-07-18,190148,1.0274969201548838,0.9918725959298501
2023-07-19,201094,0.994798748630228,0.9780684215518418
2023-07-20,190638,1.0374785659154446,1.009260337488028
2023-07-21,184062,1.0481000206479427,1.0042976027043482
2023-07-22,160975,1.1514167579732095,1.064424032847677
2023-07-23,185236,1.0761788677598942,1.0235226706347964
2023-07-24,382387,1.1028385089755752,1.0803351433638384
2023-07-25,412242,1.1538699440034008,1.1332345720301953
2023-07-26,374935,1.140476243610219,1.1068904426459887
2023-07-27,332403,1.1223745248992059,1.0922769921986113
2023-07-28,325201,1.1562694120062726,1.1151794416017746
2023-07-29,292802,1.0978348049252522,1.085479169101371
2023-07-30,279753,1.1174413753045602,1.094843007468243
2023-07-31,318098,1.1225744247487208,1.081714212546062
2023-08-01,351399,1.1458799068367347,1.1053194469809833
2023-08-02,343750,1.1568424735326694,1.0984750342141967
2023-08-03,342348,1.13666668314402,1.1086151190850035
2023-08-04,349353,1.1720015267764208,1.137800445152296
2023-08-05,290210,1.1650999202163246,1.1325549684225928
2023-08-06,284253,1.1444782937052227,1.1153007220691176
2023-08-07,331126,1.1276170349887304,1.0712472030303548
2023-08-08,321864,1.144749564088971,1.0863352314335828
2023-08-09,335086,1.104267634766048,1.0580275958785559
2023-08-10,329308,1.1346970544909278,1.0753057870235112
2023-08-11,330717,1.1297194839715443,1.0971082268918746
2023-08-12,283141,1.1682604692152054,1.1317058724425584
2023-08-13,276753,1.146186223007535,1.1147326943829658
2023-08-14,317146,1.1670499796577605,1.1169939971105212
2023-08-15,359569,1.1446624765131401,1.0989899802575633
2023-08-16,357254,1.1383766114656202,1.0955882044770127
2023-08-17,355165,1.1554507499625526,1.1047422727692224
2023-08-18,385846,1.1277867443063834,1.0941528366500788
2023-08-19,430159,1.183945269163364,1.158600664368846
2023-08-20,391656,1.1448888904415442,1.123081157382707
2023-08-21,406073,1.2012526963051635,1.1373386772423055
2023-08-22,422701,1.1100548107182449,1.0841233333380444
2023-08-23,436040,1.1539742101372852,1.1029331995061138
2023-08-24,424113,1.151039459280325,1.0951734715109969
